Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104075,MDCAL,Aetideidae,C2,1,0.5,138.3,0.014461316,850,0,55.74,8.06E-04,7.52E-03,6.28E-04,8.06E-02,7.52E-01,6.28E-02
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104112,SMCAL,Aetideus,C5,2,0.5,138.3,0.028922632,1352.4,3.8,241.73,6.99E-03,4.62E-02,4.04E-03,6.99E-01,4.62E+00,4.04E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104275,SMCAL,Aetideus armatus,C6 AF,15,0.5,138.3,0.21691974,1414.2,6.5,281.46,6.11E-02,3.88E-01,3.41E-02,6.11E+00,3.88E+01,3.41E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104115,SMCAL,Bradyidius,C3,2,0.5,138.3,0.028922632,1132.6,1.8,137.9,3.99E-03,3.01E-02,2.58E-03,3.99E-01,3.01E+00,2.58E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104115,SMCAL,Bradyidius,C4,2,0.5,138.3,0.028922632,1356.2,6.4,244.95,7.08E-03,4.66E-02,4.07E-03,7.08E-01,4.66E+00,4.07E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104117,MDCAL,Chiridius,C4,7,0.5,138.3,0.101229212,1247.3,3,187.32,1.90E-02,1.33E-01,1.15E-02,1.90E+00,1.33E+01,1.15E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104117,MDCAL,Chiridius,C5,7,0.5,138.3,0.101229212,1590.9,4.6,404.85,4.10E-02,2.40E-01,2.13E-02,4.10E+00,2.40E+01,2.13E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104117,MDCAL,Chiridius,C6 AM,1,0.5,138.3,0.014461316,1364,0,247.7,3.58E-03,2.36E-02,2.06E-03,3.58E-01,2.36E+00,2.06E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C6 AF,1,0.5,138.3,0.014461316,2056.1,0,903.57,1.31E-02,6.35E-02,5.77E-03,1.31E+00,6.35E+00,5.77E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C6 AM,2,0.5,138.3,0.028922632,1672.3,3.3,471.83,1.36E-02,7.72E-02,6.87E-03,1.36E+00,7.72E+00,6.87E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,346494,MDCAL,Gaetanus simplex,C5,1,0.5,138.3,0.014461316,2122.4,0,854.13,1.24E-02,6.08E-02,5.51E-03,1.24E+00,6.08E+00,5.51E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C3,1,0.5,138.3,0.014461316,1435.6,0,187.46,2.71E-03,1.90E-02,1.65E-03,2.71E-01,1.90E+00,1.65E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C4,43,0.5,138.3,0.621836587,1831.3,6.8,408.64,2.54E-01,1.48E+00,1.31E-01,2.54E+01,1.48E+02,1.31E+01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C5,42,0.5,138.3,0.607375271,2454.4,11.2,1050.4,6.38E-01,2.96E+00,2.70E-01,6.38E+01,2.96E+02,2.70E+01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AF,7,0.5,138.3,0.101229212,2946.5,10.9,1850.33,1.87E-01,7.63E-01,7.09E-02,1.87E+01,7.63E+01,7.09E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AM,1,1,138.3,0.007230658,2512.5,0,1085.17,7.85E-03,3.65E-02,3.34E-03,7.85E-01,3.65E+00,3.34E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196771,WMCAL,Calanus pacificus,C5,15,0.5,138.3,0.21691974,1779.4,10.5,388.96,8.44E-02,4.95E-01,4.38E-02,8.44E+00,4.95E+01,4.38E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C4,3,1,138.3,0.021691974,3819.9,4.4,3193.82,6.93E-02,2.50E-01,2.36E-02,6.93E+00,2.50E+01,2.36E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C5,1,1,138.3,0.007230658,5784.9,0,10670.58,7.72E-02,2.10E-01,2.06E-02,7.72E+00,2.10E+01,2.06E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196772,LGCAL,Neocalanus plumchrus,C5,51,0.5,138.3,0.737527115,3707.6,4.7,2987.02,2.20E+00,8.08E+00,7.61E-01,2.20E+02,8.08E+02,7.61E+01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196772,LGCAL,Neocalanus plumchrus,C6 AF,1,0.5,138.3,0.014461316,3745.8,0,3060.85,4.43E-02,1.62E-01,1.52E-02,4.43E+00,1.62E+01,1.52E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C3,1,0.5,138.3,0.014461316,2458.8,0,346.06,5.00E-03,3.04E-02,2.69E-03,5.00E-01,3.04E+00,2.69E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C4,16,0.5,138.3,0.231381056,3433.9,5.1,987.09,2.28E-01,1.08E+00,9.88E-02,2.28E+01,1.08E+02,9.88E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C5,28,0.5,138.3,0.404916847,4389.5,3.6,2111.5,8.55E-01,3.40E+00,3.17E-01,8.55E+01,3.40E+02,3.17E+01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C6 AF,5,0.5,138.3,0.07230658,6067.4,5.4,5805.73,4.20E-01,1.32E+00,1.27E-01,4.20E+01,1.32E+02,1.27E+01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C4,4,1,138.3,0.028922632,2680.1,5.8,1476.01,4.27E-02,1.85E-01,1.70E-02,4.27E+00,1.85E+01,1.70E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C5,15,1,138.3,0.10845987,3621.6,3.2,3896.27,4.23E-01,1.46E+00,1.38E-01,4.23E+01,1.46E+02,1.38E+01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C6 AF,2,1,138.3,0.014461316,4419.3,0.6,7405.4,1.07E-01,3.18E-01,3.08E-02,1.07E+01,3.18E+01,3.08E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C6 AM,1,1,138.3,0.007230658,4241.3,0,6480.71,4.69E-02,1.44E-01,1.38E-02,4.69E+00,1.44E+01,1.38E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196783,MDCAL,Metridia okhotensis,C5,1,0.5,138.3,0.014461316,1770,0,570.25,8.25E-03,4.46E-02,4.00E-03,8.25E-01,4.46E+00,4.00E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196783,MDCAL,Metridia okhotensis,C6 AM,1,0.5,138.3,0.014461316,2077.8,0,940.35,1.36E-02,6.55E-02,5.95E-03,1.36E+00,6.55E+00,5.95E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196784,MDCAL,Metridia pacifica,C4,1,0.25,138.3,0.028922632,1054.9,0,103.72,3.00E-03,2.42E-02,2.06E-03,3.00E-01,2.42E+00,2.06E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196784,MDCAL,Metridia pacifica,C5,46,0.25,138.3,1.33044107,1402.9,10.4,257.9,3.43E-01,2.22E+00,1.94E-01,3.43E+01,2.22E+02,1.94E+01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196784,MDCAL,Metridia pacifica,C6 AF,40,0.25,138.3,1.156905278,1827.6,5.8,568.43,6.58E-01,3.55E+00,3.18E-01,6.58E+01,3.55E+02,3.18E+01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196784,MDCAL,Metridia pacifica,C6 AM,16,0.25,138.3,0.462762111,1204.5,6.6,157.96,7.31E-02,5.33E-01,4.59E-02,7.31E+00,5.33E+01,4.59E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196782,MDCAL,Heterorhabdus tanneri,C5,1,1,138.3,0.007230658,1645.6,0,377.49,2.73E-03,1.63E-02,1.44E-03,2.73E-01,1.63E+00,1.44E-01
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,196782,MDCAL,Heterorhabdus tanneri,C6 AF,3,1,138.3,0.021691974,2532.2,3.9,1455.33,3.16E-02,1.37E-01,1.26E-02,3.16E+00,1.37E+01,1.26E+00
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104784,SMCAL,Racovitzanus antarcticus,C6 AF,1,1,138.3,0.007230658,1826.9,0,421.23,3.05E-03,1.77E-02,1.57E-03,3.05E-01,1.77E+00,1.57E-01
