Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
SKQ202106,Multinet,0.5,Oblique,500,2021-05-01T05:19:54-0800,2021-05-01T05:56:30-0800,-149.4596,59.8377,271,GAK01,2,100,60,196770,LGCAL,Calanus marshallae,C2,1,0.0078125,128.5,0.996108949,1168.4,0,98.23,9.79E-02,6.32E-01,5.45E-02,3.91E+00,2.53E+01,2.18E+00
SKQ202106,Multinet,0.5,Oblique,500,2021-05-01T05:19:54-0800,2021-05-01T05:56:30-0800,-149.4596,59.8377,271,GAK01,2,100,60,196770,LGCAL,Calanus marshallae,C3,34,0.0078125,128.5,33.86770428,1607.6,4.4,269,9.11E+00,4.64E+01,4.13E+00,3.64E+02,1.86E+03,1.65E+02
SKQ202106,Multinet,0.5,Oblique,500,2021-05-01T05:19:54-0800,2021-05-01T05:56:30-0800,-149.4596,59.8377,271,GAK01,2,100,60,196770,LGCAL,Calanus marshallae,C4,20,0.0078125,128.5,19.92217899,2100.7,4.1,622.09,1.24E+01,5.19E+01,4.73E+00,4.96E+02,2.07E+03,1.89E+02
SKQ202106,Multinet,0.5,Oblique,500,2021-05-01T05:19:54-0800,2021-05-01T05:56:30-0800,-149.4596,59.8377,271,GAK01,2,100,60,196770,LGCAL,Calanus marshallae,C5,3,0.0078125,128.5,2.988326848,2566.5,2.4,1161.61,3.47E+00,1.26E+01,1.17E+00,1.39E+02,5.03E+02,4.67E+01
SKQ202106,Multinet,0.5,Oblique,500,2021-05-01T05:19:54-0800,2021-05-01T05:56:30-0800,-149.4596,59.8377,271,GAK01,2,100,60,196770,LGCAL,Calanus marshallae,C6 AF,3,0.125,128.5,0.186770428,3294.2,3.1,2543.81,4.75E-01,1.43E+00,1.36E-01,1.90E+01,5.73E+01,5.45E+00
SKQ202106,Multinet,0.5,Oblique,500,2021-05-01T05:19:54-0800,2021-05-01T05:56:30-0800,-149.4596,59.8377,271,GAK01,2,100,60,196770,LGCAL,Calanus marshallae,C6 AM,1,0.125,128.5,0.062256809,2728.4,0,1405.39,8.75E-02,3.03E-01,2.83E-02,3.50E+00,1.21E+01,1.13E+00
SKQ202106,Multinet,0.5,Oblique,500,2021-05-01T05:19:54-0800,2021-05-01T05:56:30-0800,-149.4596,59.8377,271,GAK01,2,100,60,104470,LGCAL,Neocalanus cristatus,C4,11,0.125,128.5,0.684824903,4417.2,3.1,4872.56,3.34E+00,8.63E+00,8.38E-01,1.33E+02,3.45E+02,3.35E+01
SKQ202106,Multinet,0.5,Oblique,500,2021-05-01T05:19:54-0800,2021-05-01T05:56:30-0800,-149.4596,59.8377,271,GAK01,2,100,60,104470,LGCAL,Neocalanus cristatus,C5,32,0.5,128.5,0.498054475,6401.8,4,14398.4,7.17E+00,1.44E+01,1.44E+00,2.87E+02,5.76E+02,5.77E+01
SKQ202106,Multinet,0.5,Oblique,500,2021-05-01T05:19:54-0800,2021-05-01T05:56:30-0800,-149.4596,59.8377,271,GAK01,2,100,60,353708,LGCAL,Neocalanus flemingeri,C4,12,0.0078125,128.5,11.95330739,2532.4,6.8,1052.8,1.26E+01,4.64E+01,4.31E+00,5.03E+02,1.86E+03,1.72E+02
SKQ202106,Multinet,0.5,Oblique,500,2021-05-01T05:19:54-0800,2021-05-01T05:56:30-0800,-149.4596,59.8377,271,GAK01,2,100,60,353708,LGCAL,Neocalanus flemingeri,C5,30,0.0078125,128.5,29.88326848,3547.4,6.1,3089.25,9.23E+01,2.65E+02,2.54E+01,3.69E+03,1.06E+04,1.02E+03
