Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
TGX202109,Multinet,0.5,Oblique,500,2021-09-25T00:11:28-0800,2021-09-25T00:40:44-0800,-149.4841,59.8391,275,GAK01,2,100,60,104257,SMCAL,Acartia longiremis,C6 AF,2,0.25,102.9,0.077745384,847.4,19.2,44.84,3.49E-03,3.64E-02,3.03E-03,1.39E-01,1.46E+00,1.21E-01
TGX202109,Multinet,0.5,Oblique,500,2021-09-25T00:11:28-0800,2021-09-25T00:40:44-0800,-149.4841,59.8391,275,GAK01,2,100,60,104112,SMCAL,Aetideus,C5,1,0.25,102.9,0.038872692,1460.6,0,307.34,1.19E-02,8.06E-02,7.09E-03,4.78E-01,3.22E+00,2.84E-01
TGX202109,Multinet,0.5,Oblique,500,2021-09-25T00:11:28-0800,2021-09-25T00:40:44-0800,-149.4841,59.8391,275,GAK01,2,100,60,104112,SMCAL,Aetideus,C6 AF,27,0.25,102.9,1.049562682,1444.4,3.7,298.11,3.13E-01,2.12E+00,1.87E-01,1.25E+01,8.49E+01,7.47E+00
TGX202109,Multinet,0.5,Oblique,500,2021-09-25T00:11:28-0800,2021-09-25T00:40:44-0800,-149.4841,59.8391,275,GAK01,2,100,60,104117,MDCAL,Chiridius,C4,3,0.25,102.9,0.116618076,1296.1,1.9,211.03,2.46E-02,1.81E-01,1.58E-02,9.84E-01,7.25E+00,6.31E-01
TGX202109,Multinet,0.5,Oblique,500,2021-09-25T00:11:28-0800,2021-09-25T00:40:44-0800,-149.4841,59.8391,275,GAK01,2,100,60,104117,MDCAL,Chiridius,C5,9,0.25,102.9,0.349854227,1685.6,4.6,485.88,1.70E-01,1.03E+00,9.18E-02,6.80E+00,4.11E+01,3.67E+00
TGX202109,Multinet,0.5,Oblique,500,2021-09-25T00:11:28-0800,2021-09-25T00:40:44-0800,-149.4841,59.8391,275,GAK01,2,100,60,104117,MDCAL,Chiridius,C6 AF,7,0.25,102.9,0.272108844,2159.8,2.2,1056.77,2.88E-01,1.45E+00,1.33E-01,1.15E+01,5.81E+01,5.31E+00
TGX202109,Multinet,0.5,Oblique,500,2021-09-25T00:11:28-0800,2021-09-25T00:40:44-0800,-149.4841,59.8391,275,GAK01,2,100,60,104117,MDCAL,Chiridius,C6 AM,4,0.25,102.9,0.155490768,1727.8,2.4,522.81,8.13E-02,4.84E-01,4.33E-02,3.25E+00,1.94E+01,1.73E+00
TGX202109,Multinet,0.5,Oblique,500,2021-09-25T00:11:28-0800,2021-09-25T00:40:44-0800,-149.4841,59.8391,275,GAK01,2,100,60,346494,MDCAL,Gaetanus simplex,C5,4,0.25,102.9,0.155490768,2164.1,6.1,927,1.44E-01,7.49E-01,6.81E-02,5.77E+00,2.99E+01,2.73E+00
TGX202109,Multinet,0.5,Oblique,500,2021-09-25T00:11:28-0800,2021-09-25T00:40:44-0800,-149.4841,59.8391,275,GAK01,2,100,60,196770,LGCAL,Calanus marshallae,C4,28,0.25,102.9,1.088435374,1838.3,5.1,410.47,4.47E-01,2.81E+00,2.50E-01,1.79E+01,1.12E+02,9.98E+00
TGX202109,Multinet,0.5,Oblique,500,2021-09-25T00:11:28-0800,2021-09-25T00:40:44-0800,-149.4841,59.8391,275,GAK01,2,100,60,196770,LGCAL,Calanus marshallae,C5,20,0.25,102.9,0.777453839,2434.7,6.3,995.66,7.74E-01,3.95E+00,3.61E-01,3.10E+01,1.58E+02,1.44E+01
